Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID,IsSenior,IsJunior,IsSophomore,IsBusinessAdmin,NumericalGrade
A,A,GRD,College of Arts and Sciences - Business Economics,Senior,Spring 2022,1660.0,1,0,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Senior,Spring 2022,1061.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Senior,Spring 2022,1348.0,1,0,0,1,4.0
A,A,GRD,College of Arts and Sciences - Psychology/Business (Minor),Senior,Spring 2022,1409.0,1,0,0,0,4.0
D+,D+,GRD,Business Administration - Business Administration,Senior,Spring 2022,1524.0,1,0,0,1,1.3
B,B,GRD,Business Administration - Business Administration,Junior,Spring 2022,1925.0,0,1,0,1,3.0
A,A,GRD,College of Arts and Sciences - Business Economics,Junior,Spring 2022,2085.0,0,1,0,0,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1596.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1414.0,0,1,0,1,4.0
D+,D+,GRD,Intended - Business Economics (intended),Sophomore,Spring 2022,1429.0,0,0,1,0,1.3
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1814.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1287.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1472.0,0,1,0,1,4.0
C,C,GRD,Intended - Business Admin (intended),Junior,Spring 2022,1996.0,0,1,0,0,2.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1271.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1283.0,0,1,0,1,4.0
